image_id,label
test_1000a,nuts
test_1000b,candy
test_1000c,chocolate
test_1000d,water
test_1001a,chocolate
test_1001b,juice
test_1001c,candy
test_1001d,chocolate
test_1002a,water
test_1002b,water
test_1002c,chips
test_1002d,water
test_1003a,juice
test_1003b,water
test_1003c,spices
test_1003d,water
test_1004a,soda
test_1004b,chocolate
test_1004c,cereal
test_1004d,water
test_1005a,juice
test_1005b,chocolate
test_1005c,chocolate
test_1005d,candy
test_1006a,jam
test_1006b,chocolate
test_1006c,cereal
test_1006d,coffee
test_1007a,candy
test_1007b,water
test_1007c,chocolate
test_1007d,juice
test_1008a,spices
test_1008b,juice
test_1008c,tea
test_1008d,spices
test_1009a,water
test_1009b,oil
test_1009c,water
test_1009d,candy
test_1010a,chocolate
test_1010b,juice
test_1010c,candy
test_1010d,water
test_1011a,milk
test_1011b,candy
test_1011c,cereal
test_1011d,water
test_1012a,water
test_1012b,water
test_1012c,chocolate
test_1012d,cereal
test_1013a,tea
test_1013b,water
test_1013c,soda
test_1013d,jam
test_1014a,chocolate
test_1014b,juice
test_1014c,water
test_1014d,cereal
test_1015a,water
test_1015b,soda
test_1015c,cereal
test_1015d,water
test_1016a,chocolate
test_1016b,cereal
test_1016c,tea
test_1016d,vinegar
test_1017a,water
test_1017b,water
test_1017c,juice
test_1017d,chocolate
test_1018a,candy
test_1018b,jam
test_1018c,water
test_1018d,tea
test_1019a,cereal
test_1019b,chocolate
test_1019c,water
test_1019d,soda
test_1020a,water
test_1020b,water
test_1020c,oil
test_1020d,milk
test_1021a,coffee
test_1021b,candy
test_1021c,water
test_1021d,cereal
test_1022a,oil
test_1022b,chocolate
test_1022c,water
test_1022d,cereal
test_1023a,cereal
test_1023b,chocolate
test_1023c,nuts
test_1023d,water
test_1024a,jam
test_1024b,chocolate
test_1024c,cereal
test_1024d,water
test_1025a,cereal
test_1025b,water
test_1025c,juice
test_1025d,chocolate
test_1026a,water
test_1026b,water
test_1026c,spices
test_1026d,juice
test_1027a,cereal
test_1027b,milk
test_1027c,candy
test_1027d,water
test_1028a,milk
test_1028b,candy
test_1028c,candy
test_1028d,cereal
test_1029a,water
test_1029b,water
test_1029c,chocolate
test_1029d,candy
test_1030a,cereal
test_1030b,water
test_1030c,nuts
test_1030d,jam
test_1031a,milk
test_1031b,tomatosauce
test_1031c,chips
test_1031d,candy
test_1032a,water
test_1032b,jam
test_1032c,candy
test_1032d,water
test_1033a,milk
test_1033b,soda
test_1033c,candy
test_1033d,water
test_1034a,spices
test_1034b,water
test_1034c,soda
test_1034d,nuts
test_1035a,juice
test_1035b,spices
test_1035c,chocolate
test_1035d,soda
test_1036a,candy
test_1036b,jam
test_1036c,chocolate
test_1036d,milk
test_1037a,chocolate
test_1037b,water
test_1037c,juice
test_1037d,milk
test_1038a,honey
test_1038b,candy
test_1038c,cereal
test_1038d,cereal
test_1039a,jam
test_1039b,candy
test_1039c,cereal
test_1039d,candy
test_1040a,jam
test_1040b,water
test_1040c,water
test_1040d,cereal
